MIN,FG3M,FG3A,TEAM_NAME,AST,FG_PCT,OREB,PLUS_MINUS,MATCHUP,TEAM_ABBREVIATION,PTS,FTA,FTM,GAME_ID,SEASON_ID,FGM,WL,PF,FGA,BLK,REB,FT_PCT,DREB,STL,FG3_PCT,GAME_DATE,TOV,VIDEO_AVAILABLE,TEAM_ID
240,11,30,Atlanta Hawks,13,0.434,9,8,ATL @ IND,ATL,101,29,24,41300101,42013,33,W,20,76,7,42,0.828,33,6,0.367,4/19/14,12,1,1610612737
240,9,21,Indiana Pacers,19,0.42,14,-8,IND vs. ATL,IND,93,23,16,41300101,42013,34,L,29,81,4,46,0.696,32,8,0.429,4/19/14,17,1,1610612754
240,8,17,Indiana Pacers,25,0.529,8,16,IND vs. ATL,IND,101,27,21,41300102,42013,36,W,18,68,4,38,0.778,30,8,0.471,4/22/14,17,1,1610612754
240,10,29,Atlanta Hawks,13,0.392,10,-16,ATL @ IND,ATL,85,18,13,41300102,42013,31,L,23,79,2,31,0.722,21,7,0.345,4/22/14,13,1,1610612737
240,12,34,Atlanta Hawks,21,0.384,4,13,ATL vs. IND,ATL,98,37,30,41300103,42013,28,W,19,73,4,41,0.811,37,4,0.353,4/24/14,14,1,1610612737
240,5,20,Indiana Pacers,21,0.376,10,-13,IND @ ATL,IND,85,21,16,41300103,42013,32,L,22,85,2,51,0.762,41,9,0.25,4/24/14,13,1,1610612754
240,9,23,Indiana Pacers,22,0.481,8,3,IND @ ATL,IND,91,14,8,41300104,42013,37,W,19,77,11,43,0.571,35,7,0.391,4/26/14,13,1,1610612754
240,11,31,Atlanta Hawks,22,0.357,9,-3,ATL vs. IND,ATL,88,17,17,41300104,42013,30,L,18,84,4,41,1,32,8,0.355,4/26/14,14,1,1610612737
240,15,27,Atlanta Hawks,19,0.5,6,10,ATL @ IND,ATL,107,33,26,41300105,42013,33,W,19,66,6,38,0.788,32,5,0.556,4/28/14,18,1,1610612737
240,14,30,Indiana Pacers,24,0.462,7,-10,IND vs. ATL,IND,97,18,11,41300105,42013,36,L,24,78,7,35,0.611,28,11,0.467,4/28/14,13,1,1610612754
240,6,20,Indiana Pacers,15,0.429,9,7,IND @ ATL,IND,95,27,23,41300106,42013,33,W,27,77,3,47,0.852,38,7,0.3,5/1/14,13,1,1610612754
240,9,35,Atlanta Hawks,14,0.358,11,-7,ATL vs. IND,ATL,88,24,21,41300106,42013,29,L,23,81,5,44,0.875,33,7,0.257,5/1/14,14,1,1610612737
240,3,18,Indiana Pacers,17,0.471,10,12,IND vs. ATL,IND,92,29,23,41300107,42013,33,W,19,70,13,55,0.793,45,6,0.167,5/3/14,18,1,1610612754
240,11,44,Atlanta Hawks,16,0.304,15,-12,ATL @ IND,ATL,80,16,13,41300107,42013,28,L,24,92,4,38,0.813,23,9,0.25,5/3/14,10,1,1610612737
240,11,23,Miami Heat,14,0.461,6,11,MIA vs. CHA,MIA,99,26,18,41300111,42013,35,W,12,76,3,38,0.692,32,5,0.478,4/20/14,9,1,1610612748
240,8,21,Charlotte Bobcats,18,0.456,8,-11,CHA @ MIA,CHA,88,12,8,41300111,42013,36,L,17,79,2,44,0.667,36,5,0.381,4/20/14,15,1,1610612766
240,9,23,Miami Heat,19,0.522,4,4,MIA vs. CHA,MIA,101,29,22,41300112,42013,35,W,21,67,6,37,0.759,33,9,0.391,4/23/14,17,1,1610612748
240,9,21,Charlotte Bobcats,18,0.42,15,-4,CHA @ MIA,CHA,97,19,14,41300112,42013,37,L,22,88,2,41,0.737,26,5,0.429,4/23/14,15,1,1610612766
240,9,18,Miami Heat,26,0.434,6,13,MIA @ CHA,MIA,98,20,17,41300113,42013,36,W,25,83,7,39,0.85,33,8,0.5,4/26/14,7,1,1610612748
240,7,18,Charlotte Bobcats,21,0.415,4,-13,CHA vs. MIA,CHA,85,33,24,41300113,42013,27,L,18,65,8,38,0.727,34,3,0.389,4/26/14,14,1,1610612766
240,9,24,Miami Heat,25,0.5,5,11,MIA @ CHA,MIA,109,29,22,41300114,42013,39,W,21,78,2,33,0.759,28,7,0.375,4/28/14,9,1,1610612748
240,7,25,Charlotte Bobcats,22,0.507,6,-11,CHA vs. MIA,CHA,98,30,21,41300114,42013,35,L,24,69,6,36,0.7,30,4,0.28,4/28/14,16,1,1610612766
240,4,24,Brooklyn Nets,16,0.425,7,7,BKN @ TOR,BKN,94,27,22,41300121,42013,34,W,19,80,2,37,0.815,30,9,0.167,4/19/14,9,1,1610612751
240,8,23,Toronto Raptors,22,0.394,8,-7,TOR vs. BKN,TOR,87,25,23,41300121,42013,28,L,23,71,4,45,0.92,37,3,0.348,4/19/14,19,1,1610612761
240,2,16,Toronto Raptors,19,0.474,19,5,TOR vs. BKN,TOR,100,29,24,41300122,42013,37,W,21,78,3,52,0.828,33,3,0.125,4/22/14,21,1,1610612761
240,7,24,Brooklyn Nets,19,0.442,11,-5,BKN @ TOR,BKN,95,28,20,41300122,42013,34,L,26,77,6,30,0.714,19,14,0.292,4/22/14,10,1,1610612751
