,nickname,gpReg,city,coachLast,gpPlayoff,coachFirst,startDate,endDate
89,Pelicans,82,NOP,Williams,0,Monty,10/1/13,6/30/14
90,Knicks,82,NYK,Woodson,0,Mike,10/1/13,6/30/14
91,Thunder,82,OKC,Brooks,19,Scott,10/1/13,6/30/14
92,Magic,82,ORL,Vaughn,0,Jacque,10/1/13,6/30/14
93,76ers,82,PHI,Brown,0,Brett,10/1/13,6/30/14
94,Suns,82,PHX,Hornacek,0,Jeff,10/1/13,6/30/14
95,Trail Blazers,82,POR,Stotts,11,Terry,10/1/13,6/30/14
96,Kings,82,SAC,Malone,0,Mike,10/1/13,6/30/14
97,Spurs,82,SAS,Popovich,23,Gregg,10/1/13,6/30/14
98,Raptors,82,TOR,Casey,7,Dwane,10/1/13,6/30/14
99,Jazz,82,UTA,Corbin,0,Tyrone,10/1/13,6/30/14
100,Wizards,82,WAS,Wittman,11,Randy,10/1/13,6/30/14
