GameID,Season,Date,Playoffs,Team,Opp,Coach,Location,HackedPlayerID,HackedFTRate,StartQ,StartTime,StartMargin,PlayerRemoved,PlayerRestTime,EndQ,EndTime,EndMargin,NumPoss,FTM,FTA,ReturnMargin,2ndChancePts,Win
21500177,15,2015-11-19 00:00:00,0,GSW,LAC,"('Walton', 'Luke')",-1,203085,0.681,1,2:55,-18,0,0,1,2:23,-16,1,0,2,inf,0,1
21500179,15,2015-11-20 00:00:00,0,BKN,BOS,"('Hollins', 'Lionel')",-1,101161,0.57,2,0:02,-24,1,2,2,0:02,-24,0,0,0,-24,0,0
21500186,15,2015-11-20 00:00:00,0,POR,LAC,"('Stotts', 'Terry')",1,201599,0.43,2,1:10,2,1,45,2,0:45,3,1,1,4,1,0,1
21500187,15,2015-11-20 00:00:00,0,CHI,GSW,"('Hoiberg', 'Fred')",-1,203949,0.531,3,2:01,1,0,0,3,1:37,-1,1,2,2,inf,0,0
21500193,15,2015-11-21 00:00:00,0,PHI,MIA,"('Brown', 'Brett')",-1,202355,0.65,3,0:48,7,0,0,3,0:00,7,1,1,2,inf,0,0
21500193,15,2015-11-21 00:00:00,0,PHI,MIA,"('Brown', 'Brett')",-1,202355,0.65,4,7:26,10,0,0,4,6:28,6,3,4,6,inf,0,0
21500200,15,2015-11-22 00:00:00,0,DEN,GSW,"('Malone', 'Mike')",1,203105,0.53,3,0:15,-11,0,0,4,11:42,-14,1,1,2,inf,0,0
21500204,15,2015-11-23 00:00:00,0,NYK,MIA,"('Fisher', 'Derek')",-1,202355,0.65,4,3:29,-13,0,0,4,3:10,-15,1,0,2,inf,0,0
21500204,15,2015-11-23 00:00:00,0,NYK,MIA,"('Fisher', 'Derek')",-1,202355,0.65,4,2:46,-12,0,0,4,2:02,-16,2,4,4,inf,0,0
21500211,15,2015-11-24 00:00:00,0,DAL,MEM,"('Carlisle', 'Rick')",-1,2754,0.652,4,4:36,-11,0,0,4,3:38,-15,2,4,6,inf,4,0
21500211,15,2015-11-24 00:00:00,0,DAL,MEM,"('Carlisle', 'Rick')",-1,2754,0.652,4,2:48,-13,0,0,4,2:17,-15,1,2,2,inf,0,0
21500212,15,2015-11-24 00:00:00,0,DEN,LAC,"('Malone', 'Mike')",1,201599,0.43,4,5:08,-12,0,0,4,4:33,-15,1,1,2,inf,0,0
21500212,15,2015-11-24 00:00:00,0,DEN,LAC,"('Malone', 'Mike')",1,201599,0.43,4,3:58,-13,0,0,4,3:25,-12,3,2,6,inf,0,0
21500212,15,2015-11-24 00:00:00,0,DEN,LAC,"('Malone', 'Mike')",1,201599,0.43,4,2:47,-11,0,0,4,2:34,-13,0,2,2,inf,4,0
21500231,15,2015-11-27 00:00:00,0,IND,CHI,"('Vogel', 'Frank')",1,202734,0.629,3,2:38,6,0,0,3,1:46,5,2,1,2,inf,0,1
21500231,15,2015-11-27 00:00:00,0,CHI,IND,"('Hoiberg', 'Fred')",-1,101133,0.587,4,4:49,-14,0,0,4,2:56,-13,4,4,6,inf,0,0
21500231,15,2015-11-27 00:00:00,0,CHI,IND,"('Hoiberg', 'Fred')",-1,101133,0.587,4,2:35,-10,0,0,4,2:08,-15,1,3,4,inf,0,0
