AST,BLK,DREB,FG_PCT,FG3_PCT,FG3A,FG3M,FGA,FGM,FT_PCT,FTA,FTM,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
17,6,28,0.42,0.269,26,7,81,34,0.895,19,17,5/4/15,41400211,CLE vs. CHI,240,11,16,-7,92,39,42014,6,CLE,1610612739,Cleveland Cavaliers,9,1,L
17,6,28,0.42,0.269,26,7,81,34,0.895,19,17,5/4/15,41400211,CLE vs. CHI,240,11,16,-7,92,39,42014,6,CLE,1610612739,Cleveland Cavaliers,9,1,L
19,4,31,0.446,0.462,26,12,83,37,0.69,29,20,5/6/15,41400212,CLE vs. CHI,240,14,23,15,106,45,42014,8,CLE,1610612739,Cleveland Cavaliers,10,1,W
20,4,26,0.405,0.318,22,7,79,32,0.8,25,20,5/6/15,41400212,CHI @ CLE,240,11,20,-15,91,37,42014,7,CHI,1610612741,Chicago Bulls,12,1,L
20,4,26,0.405,0.318,22,7,79,32,0.8,25,20,5/6/15,41400212,CHI @ CLE,240,11,20,-15,91,37,42014,7,CHI,1610612741,Chicago Bulls,12,1,L
17,10,36,0.378,0.286,21,6,90,34,0.862,29,25,5/8/15,41400213,CHI vs. CLE,240,18,18,3,99,54,42014,9,CHI,1610612741,Chicago Bulls,11,1,W
23,9,30,0.39,0.412,34,14,82,32,0.947,19,18,5/8/15,41400213,CLE @ CHI,240,9,24,-3,96,39,42014,6,CLE,1610612739,Cleveland Cavaliers,12,1,L
16,6,38,0.387,0.2,25,5,75,29,0.958,24,23,5/10/15,41400214,CLE @ CHI,240,6,16,2,86,44,42014,4,CLE,1610612739,Cleveland Cavaliers,15,1,W
12,6,29,0.36,0.429,21,9,89,32,0.917,12,11,5/10/15,41400214,CHI vs. CLE,240,11,19,-2,84,40,42014,7,CHI,1610612741,Chicago Bulls,12,1,L
19,12,30,0.506,0.333,24,8,79,40,0.72,25,18,5/12/15,41400215,CLE vs. CHI,240,11,22,5,106,41,42014,5,CLE,1610612739,Cleveland Cavaliers,11,1,W
20,5,28,0.395,0.28,25,7,86,34,0.929,28,26,5/12/15,41400215,CHI @ CLE,240,12,23,-5,101,40,42014,5,CHI,1610612741,Chicago Bulls,11,1,L
20,8,37,0.418,0.444,27,12,79,33,0.8,20,16,5/14/15,41400216,CLE @ CHI,240,16,16,21,94,53,42014,3,CLE,1610612739,Cleveland Cavaliers,14,1,W
17,6,23,0.375,0.2,20,4,80,30,0.9,10,9,5/14/15,41400216,CHI vs. CLE,240,9,18,-21,73,32,42014,5,CHI,1610612741,Chicago Bulls,7,1,L
17,6,23,0.375,0.2,20,4,80,30,0.9,10,9,5/14/15,41400216,CHI vs. CLE,240,9,18,-21,73,32,42014,5,CHI,1610612741,Chicago Bulls,7,1,L
26,2,32,0.506,0.464,28,13,77,39,0.667,15,10,5/3/15,41400221,GSW vs. MEM,240,7,20,15,101,39,42014,13,GSW,1610612744,Golden State Warriors,16,1,W
24,0,30,0.452,0.25,12,3,73,33,0.773,22,17,5/3/15,41400221,MEM @ GSW,240,7,16,-15,86,37,42014,13,MEM,1610612763,Memphis Grizzlies,16,1,L
19,2,31,0.446,0.333,15,5,83,37,0.9,20,18,5/5/15,41400222,MEM @ GSW,240,8,21,7,97,39,42014,13,MEM,1610612763,Memphis Grizzlies,14,1,W
16,3,36,0.419,0.231,26,6,74,31,0.786,28,22,5/5/15,41400222,GSW vs. MEM,240,9,18,-7,90,45,42014,6,GSW,1610612744,Golden State Warriors,20,1,L
21,2,33,0.451,0.313,16,5,82,37,0.87,23,20,5/9/15,41400223,MEM vs. GSW,240,11,26,10,99,44,42014,10,MEM,1610612763,Memphis Grizzlies,15,1,W
20,7,29,0.432,0.231,26,6,74,32,0.679,28,19,5/9/15,41400223,GSW @ MEM,240,10,23,-10,89,39,42014,7,GSW,1610612744,Golden State Warriors,17,1,L
22,10,35,0.475,0.424,33,14,80,38,0.688,16,11,5/11/15,41400224,GSW @ MEM,240,10,23,17,101,45,42014,11,GSW,1610612744,Golden State Warriors,21,1,W
24,4,32,0.375,0.222,18,4,88,33,0.778,18,14,5/11/15,41400224,MEM vs. GSW,240,17,17,-17,84,49,42014,8,MEM,1610612763,Memphis Grizzlies,16,1,L
24,4,32,0.375,0.222,18,4,88,33,0.778,18,14,5/11/15,41400224,MEM vs. GSW,240,17,17,-17,84,49,42014,8,MEM,1610612763,Memphis Grizzlies,16,1,L
28,6,30,0.469,0.467,30,14,81,38,0.8,10,8,5/13/15,41400225,GSW vs. MEM,240,14,13,20,98,44,42014,9,GSW,1610612744,Golden State Warriors,17,1,W
21,1,30,0.398,0.267,15,4,83,33,0.8,10,8,5/13/15,41400225,MEM @ GSW,240,13,17,-20,78,43,42014,8,MEM,1610612763,Memphis Grizzlies,16,1,L
21,1,30,0.398,0.267,15,4,83,33,0.8,10,8,5/13/15,41400225,MEM @ GSW,240,13,17,-20,78,43,42014,8,MEM,1610612763,Memphis Grizzlies,16,1,L
27,8,40,0.506,0.469,32,15,81,41,0.786,14,11,5/15/15,41400226,GSW @ MEM,240,7,24,13,108,47,42014,1,GSW,1610612744,Golden State Warriors,12,1,W
21,5,31,0.374,0.25,16,4,91,34,0.767,30,23,5/15/15,41400226,MEM vs. GSW,240,12,16,-13,95,43,42014,7,MEM,1610612763,Memphis Grizzlies,3,1,L
31,6,33,0.488,0.419,31,13,84,41,0.733,30,22,5/4/15,41400231,LAC @ HOU,240,9,22,16,117,42,42014,14,LAC,1610612746,Los Angeles Clippers,23,1,W
20,4,34,0.453,0.24,25,6,86,39,32,25,0.781,5/6/15,41400232,LAC @ HOU,240,6,40,-6,109,40,42014,9,LAC,1610612746,Los Angeles Clippers,12,1,L
