,DISPLAY_LAST_COMMA_FIRST,TEAM_CITY,GAMES_PLAYED_FLAG,TEAM_CODE,TO_YEAR,TEAM_NAME,PLAYERCODE,DISPLAY_FIRST_LAST,PERSON_ID,FROM_YEAR,TEAM_ABBREVIATION,ROSTERSTATUS,FT_RATE15,FT_RATE14,FT_RATE13
42,"Bargnani, Andrea",New York,Y,knicks,2015,Knicks,andrea_bargnani,Andrea Bargnani,200745,2006,NYK,1,0.825,0.813,0.824
43,"Barnes, Harrison",Golden State,Y,warriors,2016,Warriors,harrison_barnes,Harrison Barnes,203084,2012,GSW,1,0.761,0.72,0.718
44,"Barnes, Matt",Memphis,Y,grizzlies,2016,Grizzlies,matt_barnes,Matt Barnes,2440,2002,MEM,1,0.804,0.779,0.733
45,"Barron, Earl",Phoenix,Y,suns,2014,Suns,earl_barron,Earl Barron,2853,2005,PHX,1,-1,0.5,-1
46,"Barton, Will",Denver,Y,nuggets,2016,Nuggets,will_barton,Will Barton,203115,2012,DEN,1,0.806,0.667,0.813
47,"Bass, Brandon",Los Angeles,Y,lakers,2016,Lakers,brandon_bass,Brandon Bass,101138,2005,LAL,1,0.845,0.79,0.858
48,"Battier, Shane",Miami,Y,heat,2013,Heat,shane_battier,Shane Battier,2203,2001,MIA,1,-1,-1,0.652
49,"Batum, Nicolas",Charlotte,Y,hornets,2016,Hornets,nicolas_batum,Nicolas Batum,201587,2008,CHA,1,0.849,0.857,0.803
50,"Bayless, Jerryd",Milwaukee,Y,bucks,2016,Bucks,jerryd_bayless,Jerryd Bayless,201573,2008,MIL,1,0.778,0.883,0.789
51,"Baynes, Aron",Detroit,Y,pistons,2016,Pistons,aron_baynes,Aron Baynes,203382,2012,DET,1,0.764,0.865,0.905
52,"Bazemore, Kent",Atlanta,Y,hawks,2016,Hawks,kent_bazemore,Kent Bazemore,203145,2012,ATL,1,0.815,0.6,0.528
53,"Beal, Bradley",Washington,Y,wizards,2016,Wizards,bradley_beal,Bradley Beal,203078,2012,WAS,1,0.767,0.783,0.788
54,"Beasley, Michael",Houston,Y,rockets,2016,Rockets,michael_beasley,Michael Beasley,201563,2008,HOU,1,0.776,0.769,0.772
55,"Belinelli, Marco",Sacramento,Y,kings,2016,Kings,marco_belinelli,Marco Belinelli,201158,2007,SAC,1,0.833,0.848,0.847
56,"Benimon, Jerrelle",,Y,,2014,,jerrelle_benimon,Jerrelle Benimon,203968,2014,,0,-1,0,-1
57,"Bennett, Anthony",,Y,,2016,,anthony_bennett,Anthony Bennett,203461,2013,,0,0.9,0.641,0.638
58,"Beverley, Patrick",Houston,Y,rockets,2016,Rockets,patrick_beverley,Patrick Beverley,201976,2012,HOU,1,0.682,0.75,0.814
59,"Bhullar, Sim",,Y,,2014,,sim_bhullar,Sim Bhullar,204021,2014,,0,-1,0,-1
60,"Biedrins, Andris",,Y,,2013,,andris_biedrins,Andris Biedrins,2740,2004,,0,-1,-1,0.167
61,"Billups, Chauncey",Detroit,Y,pistons,2013,Pistons,chauncey_billups,Chauncey Billups,1497,1997,DET,1,-1,-1,0.833
62,"Biyombo, Bismack",Toronto,Y,raptors,2016,Raptors,bismack_biyombo,Bismack Biyombo,202687,2011,TOR,1,0.628,0.583,0.517
