,DISPLAY_LAST_COMMA_FIRST,TEAM_CITY,GAMES_PLAYED_FLAG,TEAM_CODE,TO_YEAR,TEAM_NAME,PLAYERCODE,DISPLAY_FIRST_LAST,PERSON_ID,FROM_YEAR,TEAM_ABBREVIATION,ROSTERSTATUS,FT_RATE15,FT_RATE14,FT_RATE13
187,"Durant, Kevin",Oklahoma City,Y,thunder,2016,Thunder,kevin_durant,Kevin Durant,201142,2007,OKC,1,0.898,0.854,0.873
188,"Early, Cleanthony",New York,Y,knicks,2015,Knicks,cleanthony_early,Cleanthony Early,203921,2014,NYK,1,0.75,0.75,-1
189,"Eddie, Jarell",Washington,Y,wizards,2016,Wizards,jarell_eddie,Jarell Eddie,204067,2015,WAS,1,1,-1,-1
190,"Edwards, Shane",,Y,,2013,,shane_edwards,Shane Edwards,202197,2013,,0,-1,-1,0
191,"Ellington, Wayne",Brooklyn,Y,nets,2016,Nets,wayne_ellington,Wayne Ellington,201961,2009,BKN,1,0.857,0.813,0.909
192,"Ellis, Monta",Indiana,Y,pacers,2016,Pacers,monta_ellis,Monta Ellis,101145,2005,IND,1,0.786,0.752,0.788
193,"Ely, Melvin",New Orleans,Y,pelicans,2013,Pelicans,melvin_ely,Melvin Ely,2408,2002,NOP,1,-1,-1,0
194,"Ennis, James",New Orleans,Y,pelicans,2016,Pelicans,james_ennis,James Ennis,203516,2014,NOP,1,0,0.84,-1
195,"Ennis, Tyler",Milwaukee,Y,bucks,2016,Bucks,tyler_ennis,Tyler Ennis,203898,2014,MIL,1,0.735,1,-1
196,"Evans, Jeremy",Dallas,Y,mavericks,2016,Mavericks,jeremy_evans,Jeremy Evans,202379,2010,DAL,1,0.714,0.828,0.68
197,"Evans, Reggie",Sacramento,Y,kings,2014,Kings,reggie_evans,Reggie Evans,2501,2002,SAC,1,-1,0.619,0.538
198,"Evans, Tyreke",New Orleans,Y,pelicans,2016,Pelicans,tyreke_evans,Tyreke Evans,201936,2009,NOP,1,0.796,0.694,0.771
199,"Exum, Dante",Utah,Y,jazz,2016,Jazz,dante_exum,Dante Exum,203957,2014,UTA,1,-1,0.625,-1
200,"Ezeli, Festus",Golden State,Y,warriors,2016,Warriors,festus_ezeli,Festus Ezeli,203105,2012,GSW,1,0.53,0.628,-1
201,"Faried, Kenneth",Denver,Y,nuggets,2016,Nuggets,kenneth_faried,Kenneth Faried,202702,2011,DEN,1,0.613,0.691,0.65
202,"Farmar, Jordan",Memphis,Y,grizzlies,2016,Grizzlies,jordan_farmar,Jordan Farmar,200770,2006,MEM,1,1,0.909,0.746
203,"Faverani, Vitor",Boston,Y,celtics,2013,Celtics,vitor_faverani,Vitor Faverani,203543,2013,BOS,1,-1,-1,0.649
204,"Favors, Derrick",Utah,Y,jazz,2016,Jazz,derrick_favors,Derrick Favors,202324,2010,UTA,1,0.709,0.669,0.669
205,"Felicio, Cristiano",Chicago,Y,bulls,2016,Bulls,cristiano_felicio,Cristiano Felicio,1626245,2015,CHI,1,0.714,-1,-1
206,"Felix, Carrick",Cleveland,Y,cavaliers,2013,Cavaliers,carrick_felix,Carrick Felix,203467,2013,CLE,1,-1,-1,0.75
207,"Felton, Raymond",Dallas,Y,mavericks,2016,Mavericks,raymond_felton,Raymond Felton,101109,2005,DAL,1,0.847,0.8,0.721
208,"Fields, Landry",Toronto,Y,raptors,2014,Raptors,landry_fields,Landry Fields,202361,2010,TOR,1,-1,0.833,0.636
209,"Fisher, Derek",Oklahoma City,Y,thunder,2013,Thunder,derek_fisher,Derek Fisher,965,1996,OKC,1,-1,-1,0.775
210,"Fournier, Evan",Orlando,Y,magic,2016,Magic,evan_fournier,Evan Fournier,203095,2012,ORL,1,0.836,0.728,0.756
211,"Foye, Randy",Oklahoma City,Y,thunder,2016,Thunder,randy_foye,Randy Foye,200751,2006,OKC,1,0.83,0.818,0.849
212,"Franklin, Jamaal",Denver,Y,nuggets,2014,Nuggets,jamaal_franklin,Jamaal Franklin,203479,2013,DEN,1,-1,0,1
213,"Frazier, Tim",New Orleans,Y,pelicans,2016,Pelicans,tim_frazier,Tim Frazier,204025,2014,NOP,1,0.533,0.333,-1
214,"Fredette, Jimmer",,Y,,2015,,jimmer_fredette,Jimmer Fredette,202690,2011,,0,0,0.956,0.895
215,"Fredette, Jimmer",New Orleans,Y,pelicans,2015,Pelicans,jimmer_fredette,Jimmer Fredette,202690,2011,NOP,1,0,0.956,0.895
216,"Freeland, Joel",Portland,Y,blazers,2014,Trail Blazers,joel_freeland,Joel Freeland,200777,2012,POR,1,-1,0.84,0.69
217,"Frye, Channing",Cleveland,Y,cavaliers,2016,Cavaliers,channing_frye,Channing Frye,101112,2005,CLE,1,0.905,0.886,0.821
218,"Gallinari, Danilo",Denver,Y,nuggets,2016,Nuggets,danilo_gallinari,Danilo Gallinari,201568,2008,DEN,1,0.868,0.895,-1
219,"Galloway, Langston",New York,Y,knicks,2016,Knicks,langston_galloway,Langston Galloway,204038,2014,NYK,1,0.754,0.808,-1
220,"Garcia, Francisco",Houston,Y,rockets,2014,Rockets,francisco_garcia,Francisco Garcia,101128,2005,HOU,1,-1,0.25,0.526
221,"Garcia, Francisco",,Y,,2014,,francisco_garcia,Francisco Garcia,101128,2005,,0,-1,0.25,0.526
222,"Garnett, Kevin",Minnesota,Y,timberwolves,2016,Timberwolves,kevin_garnett,Kevin Garnett,708,1995,MIN,1,0.667,0.829,0.809
223,"Garrett, Diante",Utah,Y,jazz,2013,Jazz,diante_garrett,Diante Garrett,203197,2012,UTA,1,-1,-1,0.833
224,"Gasol, Marc",Memphis,Y,grizzlies,2016,Grizzlies,marc_gasol,Marc Gasol,201188,2008,MEM,1,0.829,0.795,0.768
225,"Gasol, Pau",Chicago,Y,bulls,2016,Bulls,pau_gasol,Pau Gasol,2200,2001,CHI,1,0.792,0.803,0.736
226,"Gay, Rudy",Sacramento,Y,kings,2016,Kings,rudy_gay,Rudy Gay,200752,2006,SAC,1,0.78,0.858,0.773
227,"Gee, Alonzo",New Orleans,Y,pelicans,2016,Pelicans,alonzo_gee,Alonzo Gee,202087,2009,NOP,1,0.667,0.738,0.705
228,"George, Paul",Indiana,Y,pacers,2016,Pacers,paul_george,Paul George,202331,2010,IND,1,0.86,0.727,0.864
229,"Gibson, Taj",Chicago,Y,bulls,2016,Bulls,taj_gibson,Taj Gibson,201959,2009,CHI,1,0.692,0.717,0.751
230,"Ginobili, Manu",San Antonio,Y,spurs,2016,Spurs,emanuel_ginobili,Manu Ginobili,1938,2002,SAS,1,0.813,0.721,0.851
231,"Gobert, Rudy",Utah,Y,jazz,2016,Jazz,rudy_gobert,Rudy Gobert,203497,2013,UTA,1,0.569,0.623,0.492
232,"Gomes, Ryan",,Y,,2013,,ryan_gomes,Ryan Gomes,101155,2005,,0,-1,-1,0
233,"Gooden, Drew",Washington,Y,wizards,2015,Wizards,drew_gooden,Drew Gooden,2400,2002,WAS,1,0.643,0.773,0.889
234,"Goodwin, Archie",Phoenix,Y,suns,2016,Suns,archie_goodwin,Archie Goodwin,203462,2013,PHX,1,0.674,0.735,0.673
235,"Gordon, Aaron",Orlando,Y,magic,2016,Magic,aaron_gordon,Aaron Gordon,203932,2014,ORL,1,0.668,0.721,-1
236,"Gordon, Ben",Orlando,Y,magic,2014,Magic,ben_gordon,Ben Gordon,2732,2004,ORL,1,-1,0.836,0.81
237,"Gordon, Drew",,Y,,2014,,drew_gordon,Drew Gordon,204079,2014,,0,-1,0.5,-1
238,"Gordon, Eric",New Orleans,Y,pelicans,2016,Pelicans,eric_gordon,Eric Gordon,201569,2008,NOP,1,0.888,0.805,0.785
239,"Gortat, Marcin",Washington,Y,wizards,2016,Wizards,marcin_gortat,Marcin Gortat,101162,2007,WAS,1,0.705,0.703,0.686
240,"Goudelock, Andrew",Houston,Y,rockets,2015,Rockets,andrew_goudelock,Andrew Goudelock,202726,2011,HOU,1,0.75,-1,-1
241,"Granger, Danny",Phoenix,Y,suns,2014,Suns,danny_granger,Danny Granger,101122,2005,PHX,1,-1,0.757,0.962
242,"Grant, Jerami",Philadelphia,Y,sixers,2016,76ers,jerami_grant,Jerami Grant,203924,2014,PHI,1,0.658,0.591,-1
243,"Grant, Jerian",New York,Y,knicks,2016,Knicks,jerian_grant,Jerian Grant,1626170,2015,NYK,1,0.78,-1,-1
244,"Gray, Aaron",Sacramento,Y,kings,2013,Kings,aaron_gray,Aaron Gray,201189,2007,SAC,1,-1,-1,0.5
245,"Green, Danny",San Antonio,Y,spurs,2016,Spurs,daniel_green,Danny Green,201980,2009,SAS,1,0.739,0.874,0.794
246,"Green, Draymond",Golden State,Y,warriors,2016,Warriors,draymond_green,Draymond Green,203110,2012,GSW,1,0.696,0.66,0.667
247,"Green, Erick",,Y,,2015,,erick_green,Erick Green,203475,2014,,0,0,0.833,-1
248,"Green, Erick",Denver,Y,nuggets,2015,Nuggets,erick_green,Erick Green,203475,2014,DEN,1,0,0.833,-1
249,"Green, Gerald",Miami,Y,heat,2016,Heat,gerald_green,Gerald Green,101123,2005,MIA,1,0.783,0.825,0.848
250,"Green, JaMychal",Memphis,Y,grizzlies,2016,Grizzlies,jamychal_green,JaMychal Green,203210,2014,MEM,1,0.752,0,-1
251,"Green, Jeff",LA,Y,clippers,2016,Clippers,jeff_green,Jeff Green,201145,2007,LAC,1,0.8,0.84,0.795
252,"Green, Willie",Orlando,Y,magic,2014,Magic,willie_green,Willie Green,2584,2003,ORL,1,-1,0.824,0.824
253,"Griffin, Blake",LA,Y,clippers,2016,Clippers,blake_griffin,Blake Griffin,201933,2009,LAC,1,0.727,0.728,0.715
254,"Gutierrez, Jorge",Charlotte,Y,hornets,2015,Hornets,jorge_gutierrez,Jorge Gutierrez,203268,2013,CHA,1,0.909,0.667,0.75
255,"Hairston, PJ",Memphis,Y,grizzlies,2015,Grizzlies,pj_hairston,PJ Hairston,203798,2014,MEM,1,0.81,0.861,-1
256,"Hamilton, Jordan",New Orleans,Y,pelicans,2016,Pelicans,jordan_hamilton,Jordan Hamilton,202706,2011,NOP,1,0.667,0,0.742
257,"Hamilton, Justin",Minnesota,Y,timberwolves,2016,Timberwolves,justin_hamilton,Justin Hamilton,203120,2013,MIN,1,-1,0.857,0
258,"Hansbrough, Tyler",Charlotte,Y,hornets,2015,Hornets,tyler_hansbrough,Tyler Hansbrough,201946,2009,CHA,1,0.585,0.698,0.681
259,"Hardaway Jr., Tim",Atlanta,Y,hawks,2016,Hawks,timothy_hardaway,Tim Hardaway Jr.,203501,2013,ATL,1,0.893,0.801,0.828
260,"Harden, James",Houston,Y,rockets,2016,Rockets,james_harden,James Harden,201935,2009,HOU,1,0.86,0.868,0.866
261,"Harkless, Maurice",Portland,Y,blazers,2016,Trail Blazers,maurice_harkless,Maurice Harkless,203090,2012,POR,1,0.622,0.537,0.594
262,"Harper, Justin",,Y,,2015,,justin_harper,Justin Harper,202712,2011,,0,0.5,-1,-1
263,"Harrell, Montrezl",Houston,Y,rockets,2016,Rockets,montrezl_harrell,Montrezl Harrell,1626149,2015,HOU,1,0.522,-1,-1
264,"Harrellson, Josh",Detroit,Y,pistons,2013,Pistons,josh_harrellson,Josh Harrellson,202725,2011,DET,1,-1,-1,0.714
265,"Harrington, Al",Washington,Y,wizards,2013,Wizards,al_harrington,Al Harrington,1733,1998,WAS,1,-1,-1,0.771
266,"Harris, Devin",Dallas,Y,mavericks,2016,Mavericks,devin_harris,Devin Harris,2734,2004,DAL,1,0.721,0.815,0.8
267,"Harris, Elias",,Y,,2013,,elias_harris,Elias Harris,203548,2013,,0,-1,-1,0
268,"Harris, Gary",Denver,Y,nuggets,2016,Nuggets,gary_harris,Gary Harris,203914,2014,DEN,1,0.82,0.745,-1
269,"Harris, Joe",,Y,,2016,,joe_harris,Joe Harris,203925,2014,,0,0,0.6,-1
270,"Harris, Manny",,Y,,2013,,manny_harris,Manny Harris,202412,2010,,0,-1,-1,0.833
271,"Harris, Michael",,Y,,2013,,mike_harris,Michael Harris,200839,2007,,0,-1,-1,0.963
272,"Harris, Tobias",Detroit,Y,pistons,2016,Pistons,tobias_harris,Tobias Harris,202699,2011,DET,1,0.784,0.788,0.807
273,"Harrison, Aaron",Charlotte,Y,hornets,2016,Hornets,aaron_harrison,Aaron Harrison,1626151,2015,CHA,1,0.417,-1,-1
274,"Haslem, Udonis",Miami,Y,heat,2016,Heat,udonis_haslem,Udonis Haslem,2617,2003,MIA,1,0.75,0.703,0.568
275,"Hawes, Spencer",Charlotte,Y,hornets,2016,Hornets,spencer_hawes,Spencer Hawes,201150,2007,CHA,1,0.831,0.647,0.782
276,"Hayes, Charles",,Y,,2015,,chuck_hayes,Charles Hayes,101236,2005,,0,1,0.545,0.714
277,"Hayes, Charles",Toronto,Y,raptors,2015,Raptors,chuck_hayes,Charles Hayes,101236,2005,TOR,1,1,0.545,0.714
278,"Hayward, Gordon",Utah,Y,jazz,2016,Jazz,gordon_hayward,Gordon Hayward,202330,2010,UTA,1,0.824,0.812,0.816
279,"Haywood, Brendan",Cleveland,Y,cavaliers,2014,Cavaliers,brendan_haywood,Brendan Haywood,2217,2001,CLE,1,-1,0.538,-1
280,"Henderson, Gerald",Portland,Y,blazers,2016,Trail Blazers,gerald_henderson,Gerald Henderson,201945,2009,POR,1,0.767,0.848,0.761
281,"Henry, Xavier",Los Angeles,Y,lakers,2014,Lakers,xavier_henry,Xavier Henry,202333,2010,LAL,1,-1,0.583,0.655
282,"Henry, Xavier",,Y,,2014,,xavier_henry,Xavier Henry,202333,2010,,0,-1,0.583,0.655
283,"Henson, John",Milwaukee,Y,bucks,2016,Bucks,john_henson,John Henson,203089,2012,MIL,1,0.59,0.569,0.514
284,"Hezonja, Mario",Orlando,Y,magic,2016,Magic,mario_hezonja,Mario Hezonja,1626209,2015,ORL,1,0.907,-1,-1
285,"Hibbert, Roy",Los Angeles,Y,lakers,2016,Lakers,roy_hibbert,Roy Hibbert,201579,2008,LAL,1,0.807,0.824,0.77
286,"Hickson, JJ",Washington,Y,wizards,2015,Wizards,jj_hickson,JJ Hickson,201581,2008,WAS,1,0.458,0.577,0.517
287,"Hill, George",Indiana,Y,pacers,2016,Pacers,george_hill,George Hill,201588,2008,IND,1,0.76,0.79,0.807
288,"Hill, Jordan",Indiana,Y,pacers,2016,Pacers,jordan_hill,Jordan Hill,201941,2009,IND,1,0.712,0.738,0.685
289,"Hill, Solomon",Indiana,Y,pacers,2016,Pacers,solomon_hill,Solomon Hill,203524,2013,IND,1,0.857,0.824,0.857
290,"Hilliard, Darrun",Detroit,Y,pistons,2016,Pistons,darrun_hilliard,Darrun Hilliard,1626199,2015,DET,1,0.725,-1,-1
291,"Hinrich, Kirk",Atlanta,Y,hawks,2015,Hawks,kirk_hinrich,Kirk Hinrich,2550,2003,ATL,1,0.938,0.7,0.76
292,"Holiday, Jrue",New Orleans,Y,pelicans,2016,Pelicans,jrue_holiday,Jrue Holiday,201950,2009,NOP,1,0.843,0.855,0.81
293,"Holiday, Justin",Chicago,Y,bulls,2016,Bulls,justin_holiday,Justin Holiday,203200,2012,CHI,1,0.5,0.822,-1
294,"Hollins, Ryan",,Y,,2015,,ryan_hollins,Ryan Hollins,200797,2006,,0,0,0.574,0.625
295,"Hollins, Ryan",Sacramento,Y,kings,2015,Kings,ryan_hollins,Ryan Hollins,200797,2006,SAC,1,0,0.574,0.625
296,"Hollis-Jefferson, Rondae",Brooklyn,Y,nets,2016,Nets,rondae_hollis-jefferson,Rondae Hollis-Jefferson,1626178,2015,BKN,1,0.712,-1,-1
297,"Holmes, Richaun",Philadelphia,Y,sixers,2016,76ers,richaun_holmes,Richaun Holmes,1626158,2015,PHI,1,0.689,-1,-1
298,"Hood, Rodney",Utah,Y,jazz,2016,Jazz,rodney_hood,Rodney Hood,203918,2014,UTA,1,0.86,0.763,-1
299,"Hopson, Scotty",Cleveland,Y,cavaliers,2013,Cavaliers,scotty_hopson,Scotty Hopson,203816,2013,CLE,1,-1,-1,0.5
300,"Horford, Al",Atlanta,Y,hawks,2016,Hawks,al_horford,Al Horford,201143,2007,ATL,1,0.798,0.759,0.682
301,"Howard, Dwight",Houston,Y,rockets,2016,Rockets,dwight_howard,Dwight Howard,2730,2004,HOU,1,0.489,0.528,0.547
302,"Hudson, Lester",Los Angeles,Y,clippers,2014,Clippers,lester_hudson,Lester Hudson,201991,2009,LAC,1,-1,0.75,-1
303,"Huertas, Marcelo",Los Angeles,Y,lakers,2016,Lakers,marcelo_huertas,Marcelo Huertas,1626273,2015,LAL,1,0.931,-1,-1
304,"Huestis, Josh",Oklahoma City,Y,thunder,2016,Thunder,josh_huestis,Josh Huestis,203962,2015,OKC,1,0,-1,-1
305,"Hummel, Robbie",Minnesota,Y,timberwolves,2016,Timberwolves,robbie_hummel,Robbie Hummel,203133,2013,MIN,1,-1,0.828,0.938
306,"Humphries, Kris",Atlanta,Y,hawks,2016,Hawks,kris_humphries,Kris Humphries,2743,2004,ATL,1,0.935,0.744,0.813
307,"Hunter, RJ",Boston,Y,celtics,2016,Celtics,rj_hunter,RJ Hunter,1626154,2015,BOS,1,0.857,-1,-1
308,"Ibaka, Serge",Oklahoma City,Y,thunder,2016,Thunder,serge_ibaka,Serge Ibaka,201586,2009,OKC,1,0.752,0.836,0.784
309,"Iguodala, Andre",Golden State,Y,warriors,2016,Warriors,andre_iguodala,Andre Iguodala,2738,2004,GSW,1,0.614,0.596,0.652
310,"Ilyasova, Ersan",Orlando,Y,magic,2016,Magic,ersan_ilyasova,Ersan Ilyasova,101141,2006,ORL,1,0.725,0.645,0.823
311,"Ingles, Joe",Utah,Y,jazz,2016,Jazz,joe_ingles,Joe Ingles,204060,2014,UTA,1,0.722,0.75,-1
312,"Inglis, Damien",Milwaukee,Y,bucks,2015,Bucks,damien_inglis,Damien Inglis,203996,2014,MIL,1,0.875,-1,-1
313,"Irving, Kyrie",Cleveland,Y,cavaliers,2016,Cavaliers,kyrie_irving,Kyrie Irving,202681,2011,CLE,1,0.885,0.863,0.861
314,"Ivey, Royal",,Y,,2013,,royal_ivey,Royal Ivey,2767,2004,,0,-1,-1,0
315,"Jack, Jarrett",Brooklyn,Y,nets,2016,Nets,jarrett_jack,Jarrett Jack,101127,2005,BKN,1,0.893,0.881,0.839
316,"Jackson, Reggie",Detroit,Y,pistons,2016,Pistons,reggie_jackson,Reggie Jackson,202704,2011,DET,1,0.864,0.861,0.893
317,"Jackson, Stephen",,Y,,2013,,stephen_jackson,Stephen Jackson,1536,2000,,0,-1,-1,0.5
318,"James, Bernard",Dallas,Y,mavericks,2014,Mavericks,bernard_james,Bernard James,203108,2012,DAL,1,-1,0.87,0.545
319,"James, Damion",San Antonio,Y,spurs,2013,Spurs,damion_james,Damion James,202345,2010,SAS,1,-1,-1,1
320,"James, LeBron",Cleveland,Y,cavaliers,2016,Cavaliers,lebron_james,LeBron James,2544,2003,CLE,1,0.731,0.71,0.75
321,"James, Mike",Chicago,Y,bulls,2013,Bulls,mike_james,Mike James,2229,2001,CHI,1,-1,-1,0
322,"Jamison, Antawn",,Y,,2013,,antawn_jamison,Antawn Jamison,1712,1998,,0,-1,-1,0.72
323,"Jeffers, Othyus",Minnesota,Y,timberwolves,2013,Timberwolves,othyus_jeffers,Othyus Jeffers,201785,2009,MIN,1,-1,-1,0.5
324,"Jefferson, Al",Charlotte,Y,hornets,2016,Hornets,al_jefferson,Al Jefferson,2744,2004,CHA,1,0.649,0.655,0.69
325,"Jefferson, Cory",,Y,,2015,,cory_jefferson,Cory Jefferson,203928,2014,,0,0.667,0.574,-1
326,"Jefferson, Cory",Brooklyn,Y,nets,2015,Nets,cory_jefferson,Cory Jefferson,203928,2014,BKN,1,0.667,0.574,-1
327,"Jefferson, Richard",Cleveland,Y,cavaliers,2016,Cavaliers,richard_jefferson,Richard Jefferson,2210,2001,CLE,1,0.667,0.684,0.741
328,"Jenkins, John",Phoenix,Y,suns,2016,Suns,john_jenkins,John Jenkins,203098,2012,PHX,1,0.889,0.842,1
329,"Jennings, Brandon",Orlando,Y,magic,2016,Magic,brandon_jennings,Brandon Jennings,201943,2009,ORL,1,0.711,0.839,0.751
330,"Jerebko, Jonas",Boston,Y,celtics,2016,Celtics,jonas_jerebko,Jonas Jerebko,201973,2009,BOS,1,0.782,0.861,0.729
331,"Jerrett, Grant",Utah,Y,jazz,2016,Jazz,grant_jerrett,Grant Jerrett,203511,2013,UTA,1,-1,0,-1
332,"Johnson-Odom, Darius",,Y,,2013,,darius_johnson-odom,Darius Johnson-Odom,203130,2012,,0,-1,-1,0
333,"Johnson, Amir",Boston,Y,celtics,2016,Celtics,amir_johnson,Amir Johnson,101161,2005,BOS,1,0.57,0.612,0.636
334,"Johnson, Chris",Utah,Y,jazz,2016,Jazz,christapher_johnson,Chris Johnson,203187,2012,UTA,1,0.81,0.75,0.86
335,"Johnson, James",Toronto,Y,raptors,2016,Raptors,james_johnson,James Johnson,201949,2009,TOR,1,0.574,0.657,0.844
336,"Johnson, Joe",Miami,Y,heat,2016,Heat,joe_johnson,Joe Johnson,2207,2001,MIA,1,0.852,0.801,0.815
337,"Johnson, Nick",Houston,Y,rockets,2016,Rockets,nick_johnson,Nick Johnson,203910,2014,HOU,1,-1,0.68,-1
338,"Johnson, Orlando",,Y,,2016,,orlando_johnson,Orlando Johnson,203111,2012,,0,0.833,-1,0.773
339,"Johnson, Stanley",Detroit,Y,pistons,2016,Pistons,stanley_johnson,Stanley Johnson,1626169,2015,DET,1,0.784,-1,-1
340,"Johnson, Tyler",Miami,Y,heat,2016,Heat,tyler_johnson,Tyler Johnson,204020,2014,MIA,1,0.797,0.681,-1
341,"Johnson, Wesley",LA,Y,clippers,2016,Clippers,wesley_johnson,Wesley Johnson,202325,2010,LAC,1,0.652,0.804,0.792
342,"Jokic, Nikola",Denver,Y,nuggets,2016,Nuggets,nikola_jokic,Nikola Jokic,203999,2015,DEN,1,0.811,-1,-1
343,"Jones, Dahntay",Cleveland,Y,cavaliers,2015,Cavaliers,dahntay_jones,Dahntay Jones,2563,2003,CLE,1,0,0.818,-1
344,"Jones, James",Cleveland,Y,cavaliers,2016,Cavaliers,james_jones,James Jones,2592,2003,CLE,1,0.808,0.848,0.636
345,"Jones, Perry",Oklahoma City,Y,thunder,2014,Thunder,perry_jones,Perry Jones,203103,2012,OKC,1,-1,0.649,0.667
346,"Jones, Solomon",,Y,,2013,,solomon_jones,Solomon Jones,200780,2006,,0,-1,-1,0.5
347,"Jones, Terrence",Houston,Y,rockets,2016,Rockets,terrence_jones,Terrence Jones,203093,2012,HOU,1,0.664,0.606,0.605
348,"Jones, Tyus",Minnesota,Y,timberwolves,2016,Timberwolves,tyus_jones,Tyus Jones,1626145,2015,MIN,1,0.718,-1,-1
349,"Jordan, DeAndre",LA,Y,clippers,2016,Clippers,deandre_jordan,DeAndre Jordan,201599,2008,LAC,1,0.43,0.397,0.428
350,"Jordan, Jerome",Brooklyn,Y,nets,2014,Nets,jerome_jordan,Jerome Jordan,202366,2011,BKN,1,-1,0.864,-1
351,"Joseph, Cory",Toronto,Y,raptors,2016,Raptors,cory_joseph,Cory Joseph,202709,2011,TOR,1,0.764,0.734,0.823
352,"Kaman, Chris",Portland,Y,blazers,2015,Trail Blazers,chris_kaman,Chris Kaman,2549,2003,POR,1,1,0.706,0.765
353,"Kaminsky, Frank",Charlotte,Y,hornets,2016,Hornets,frank_kaminsky,Frank Kaminsky,1626163,2015,CHA,1,0.73,-1,-1
354,"Kanter, Enes",Oklahoma City,Y,thunder,2016,Thunder,enes_kanter,Enes Kanter,202683,2011,OKC,1,0.797,0.788,0.73
355,"Karasev, Sergey",Brooklyn,Y,nets,2015,Nets,sergey_karasev,Sergey Karasev,203508,2013,BKN,1,0.929,0.763,0.9
356,"Kaun, Sasha",Cleveland,Y,cavaliers,2015,Cavaliers,sasha_kaun,Sasha Kaun,201619,2015,CLE,1,0.455,-1,-1
357,"Kelly, Ryan",Los Angeles,Y,lakers,2016,Lakers,ryan_kelly,Ryan Kelly,203527,2013,LAL,1,0.685,0.832,0.815
358,"Kidd-Gilchrist, Michael",Charlotte,Y,hornets,2016,Hornets,michael_kidd-gilchrist,Michael Kidd-Gilchrist,203077,2012,CHA,1,0.69,0.701,0.614
359,"Kilpatrick, Sean",Brooklyn,Y,nets,2016,Nets,sean_kilpatrick,Sean Kilpatrick,203930,2014,BKN,1,0.875,1,-1
360,"Kirilenko, Andrei",Brooklyn,Y,nets,2014,Nets,andrei_kirilenko,Andrei Kirilenko,1905,2001,BKN,1,-1,0.75,0.513
361,"Kirilenko, Andrei",,Y,,2014,,andrei_kirilenko,Andrei Kirilenko,1905,2001,,0,-1,0.75,0.513
362,"Kirk, Alex",,Y,,2014,,alex_kirk,Alex Kirk,203945,2014,,0,-1,1,-1
363,"Knight, Brandon",Phoenix,Y,suns,2016,Suns,brandon_knight,Brandon Knight,202688,2011,PHX,1,0.852,0.881,0.802
364,"Korver, Kyle",Atlanta,Y,hawks,2016,Hawks,kyle_korver,Kyle Korver,2594,2003,ATL,1,0.833,0.898,0.926
365,"Koufos, Kosta",Sacramento,Y,kings,2016,Kings,kosta_koufos,Kosta Koufos,201585,2008,SAC,1,0.548,0.647,0.645
366,"Kravtsov, Viacheslav",,Y,,2013,,viacheslav_kravtsov,Viacheslav Kravtsov,203139,2012,,0,-1,-1,0.5
367,"Kuzmic, Ognjen",Golden State,Y,warriors,2014,Warriors,ognjen_kuzmic,Ognjen Kuzmic,203136,2013,GSW,1,-1,1,0.455
368,"Lamb, Doron",Orlando,Y,magic,2013,Magic,doron_lamb,Doron Lamb,203117,2012,ORL,1,-1,-1,0.806
369,"Lamb, Jeremy",Charlotte,Y,hornets,2016,Hornets,jeremy_lamb,Jeremy Lamb,203087,2012,CHA,1,0.727,0.891,0.797
370,"Landry, Carl",Philadelphia,Y,sixers,2015,76ers,carl_landry,Carl Landry,201171,2007,PHI,1,0.736,0.82,0.824
371,"Larkin, Shane",Brooklyn,Y,nets,2015,Nets,shane_larkin,Shane Larkin,203499,2013,BKN,1,0.776,0.782,0.64
372,"Lauvergne, Joffrey",Denver,Y,nuggets,2016,Nuggets,joffrey_lauvergne,Joffrey Lauvergne,203530,2014,DEN,1,0.899,0.643,-1
373,"LaVine, Zach",Minnesota,Y,timberwolves,2016,Timberwolves,zach_lavine,Zach LaVine,203897,2014,MIN,1,0.793,0.842,-1
374,"Lawson, Ty",Indiana,Y,pacers,2016,Pacers,ty_lawson,Ty Lawson,201951,2009,IND,1,0.7,0.73,0.798
375,"Ledo, Ricky",New York,Y,knicks,2014,Knicks,ricardo_ledo,Ricky Ledo,203495,2013,NYK,1,-1,0.5,1
376,"Lee, Courtney",Charlotte,Y,hornets,2016,Hornets,courtney_lee,Courtney Lee,201584,2008,CHA,1,0.826,0.86,0.818
377,"Lee, David",Dallas,Y,mavericks,2016,Mavericks,david_lee,David Lee,101135,2005,DAL,1,0.784,0.654,0.78
378,"Lee, Malcolm",,Y,,2014,,malcolm_lee,Malcolm Lee,202723,2011,,0,-1,0,-1
379,"Len, Alex",Phoenix,Y,suns,2016,Suns,alex_len,Alex Len,203458,2013,PHX,1,0.728,0.702,0.645
380,"Leonard, Kawhi",San Antonio,Y,spurs,2016,Spurs,kawhi_leonard,Kawhi Leonard,202695,2011,SAS,1,0.874,0.802,0.802
381,"Leonard, Meyers",Portland,Y,blazers,2016,Trail Blazers,meyers_leonard,Meyers Leonard,203086,2012,POR,1,0.761,0.938,0.762
382,"Leuer, Jon",Phoenix,Y,suns,2016,Suns,jon_leuer,Jon Leuer,202720,2011,PHX,1,0.762,0.627,0.787
383,"Lewis, Rashard",Miami,Y,heat,2013,Heat,rashard_lewis,Rashard Lewis,1740,1998,MIA,1,-1,-1,0.788
