,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0,0021400035,0,12,0,1,8:11 PM,12:00,,,,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,
1,0021400035,1,10,0,1,8:11 PM,12:00,Jump Ball Pekovic vs. Gasol: Tip to Hinrich,,,,,4.0,201593,Nikola Pekovic,1610612750.0,Minnesota,Timberwolves,MIN,5,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,5,2550,Kirk Hinrich,1610612741.0,Chicago,Bulls,CHI
2,0021400035,2,2,5,1,8:11 PM,11:43,,,MISS Gasol 3' Layup,,,5.0,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
3,0021400035,3,4,0,1,8:11 PM,11:42,Pekovic REBOUND (Off:0 Def:1),,,,,4.0,201593,Nikola Pekovic,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
4,0021400035,4,1,46,1,8:11 PM,11:31,Young 3' Running Jump Shot (2 PTS),,,0 - 2,2,4.0,201152,Thaddeus Young,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
5,0021400035,5,6,2,1,8:12 PM,11:05,Wiggins S.FOUL (P1.T1),,,,,4.0,203952,Andrew Wiggins,1610612750.0,Minnesota,Timberwolves,MIN,5,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,1,0,,,,,
6,0021400035,7,18,0,1,8:13 PM,11:05,,,,,,,5,,,,,,0,0,,,,,,1,0,,,,,
7,0021400035,8,18,0,1,8:14 PM,11:05,,,,,,,5,,,,,,0,0,,,,,,1,0,,,,,
8,0021400035,9,3,11,1,8:14 PM,11:05,,,Butler Free Throw 1 of 2 (1 PTS),1 - 2,1,5.0,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
9,0021400035,11,3,12,1,8:14 PM,11:05,,,MISS Butler Free Throw 2 of 2,,,5.0,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
10,0021400035,13,4,0,1,8:14 PM,11:04,Wiggins REBOUND (Off:0 Def:1),,,,,4.0,203952,Andrew Wiggins,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
11,0021400035,14,2,1,1,8:14 PM,10:49,MISS Wiggins 24' 3PT Jump Shot,,,,,4.0,203952,Andrew Wiggins,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
12,0021400035,15,4,0,1,8:14 PM,10:47,,,Gasol REBOUND (Off:0 Def:1),,,5.0,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
13,0021400035,16,2,1,1,8:15 PM,10:34,,,MISS Dunleavy 24' 3PT Jump Shot,,,5.0,2399,Mike Dunleavy,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
14,0021400035,17,4,0,1,8:15 PM,10:33,Rubio REBOUND (Off:0 Def:1),,,,,4.0,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
15,0021400035,18,2,44,1,8:15 PM,10:25,MISS Pekovic 2' Reverse Layup,,Gasol BLOCK (1 BLK),,,4.0,201593,Nikola Pekovic,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,5,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI
16,0021400035,19,4,0,1,8:15 PM,10:24,,,Bulls Rebound,,,3.0,1610612741,,,,,,0,0,,,,,,0,0,,,,,
17,0021400035,20,1,5,1,8:15 PM,10:07,,,Butler 1' Layup (3 PTS),3 - 2,-1,5.0,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
18,0021400035,21,6,2,1,8:15 PM,10:07,Rubio S.FOUL (P1.T2),,,,,4.0,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,5,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,1,0,,,,,
19,0021400035,22,3,10,1,8:16 PM,10:07,,,Butler Free Throw 1 of 1 (4 PTS),4 - 2,-2,5.0,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
20,0021400035,24,1,5,1,8:16 PM,9:57,Rubio 1' Layup (2 PTS) (Pekovic 1 AST),,,4 - 4,TIE,4.0,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,4,201593,Nikola Pekovic,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,
21,0021400035,25,1,79,1,8:16 PM,9:50,,,Hinrich 10' Pullup Jump Shot (2 PTS),6 - 4,-2,5.0,2550,Kirk Hinrich,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
22,0021400035,26,1,5,1,8:16 PM,9:31,Pekovic 2' Layup (2 PTS) (Rubio 1 AST),,,6 - 6,TIE,4.0,201593,Nikola Pekovic,1610612750.0,Minnesota,Timberwolves,MIN,4,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,
23,0021400035,27,1,47,1,8:17 PM,9:11,,,Butler 16' Turnaround Jump Shot (6 PTS) (Gasol 1 AST),8 - 6,-2,5.0,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,5,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,
24,0021400035,28,1,1,1,8:17 PM,8:57,Martin 19' Jump Shot (2 PTS) (Rubio 2 AST),,,8 - 8,TIE,4.0,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,4,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,
25,0021400035,29,2,1,1,8:17 PM,8:39,,,MISS Hinrich 24' 3PT Jump Shot,,,5.0,2550,Kirk Hinrich,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
26,0021400035,30,4,0,1,8:17 PM,8:38,Young REBOUND (Off:0 Def:1),,,,,4.0,201152,Thaddeus Young,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
27,0021400035,31,2,1,1,8:17 PM,8:29,MISS Young 18' Jump Shot,,,,,4.0,201152,Thaddeus Young,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
28,0021400035,32,4,0,1,8:17 PM,8:28,,,Gasol REBOUND (Off:0 Def:2),,,5.0,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
29,0021400035,33,2,42,1,8:18 PM,8:15,,,MISS Noah 1' Driving Layup,,,5.0,201149,Joakim Noah,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
30,0021400035,34,4,0,1,8:18 PM,8:13,Martin REBOUND (Off:0 Def:1),,,,,4.0,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
31,0021400035,35,6,2,1,8:18 PM,8:09,,,Dunleavy S.FOUL (P1.T1),,,5.0,2399,Mike Dunleavy,1610612741.0,Chicago,Bulls,CHI,4,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,1,0,,,,,
32,0021400035,36,3,11,1,8:18 PM,8:09,Martin Free Throw 1 of 2 (3 PTS),,,8 - 9,1,4.0,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
33,0021400035,38,3,12,1,8:18 PM,8:09,Martin Free Throw 2 of 2 (4 PTS),,,8 - 10,2,4.0,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
34,0021400035,40,2,46,1,8:19 PM,7:51,,,MISS Hinrich 12' Running Jump Shot,,,5.0,2550,Kirk Hinrich,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
35,0021400035,41,4,0,1,8:19 PM,7:50,,,Noah REBOUND (Off:1 Def:0),,,5.0,201149,Joakim Noah,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
36,0021400035,42,2,7,1,8:19 PM,7:47,,,MISS Gasol  Dunk,,,5.0,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
37,0021400035,43,4,0,1,8:19 PM,7:46,,,Noah REBOUND (Off:2 Def:0),,,5.0,201149,Joakim Noah,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
38,0021400035,44,1,5,1,8:19 PM,7:44,,,Noah 1' Layup (2 PTS),10 - 10,TIE,5.0,201149,Joakim Noah,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
39,0021400035,45,1,65,1,8:19 PM,7:26,Pekovic 7' Jump Hook Shot (4 PTS),,,10 - 12,2,4.0,201593,Nikola Pekovic,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
40,0021400035,46,1,1,1,8:19 PM,7:12,,,Dunleavy  3PT Jump Shot (3 PTS) (Butler 1 AST),13 - 12,-1,5.0,2399,Mike Dunleavy,1610612741.0,Chicago,Bulls,CHI,5,202710,Jimmy Butler,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,
41,0021400035,47,2,42,1,8:20 PM,6:53,MISS Rubio 2' Driving Layup,,,,,4.0,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
42,0021400035,48,4,0,1,8:20 PM,6:52,,,Gasol REBOUND (Off:0 Def:3),,,5.0,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
43,0021400035,49,2,1,1,8:20 PM,6:47,,,MISS Dunleavy 24' 3PT Jump Shot,,,5.0,2399,Mike Dunleavy,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
44,0021400035,50,4,0,1,8:20 PM,6:44,Martin REBOUND (Off:0 Def:2),,,,,4.0,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
45,0021400035,51,2,1,1,8:20 PM,6:27,MISS Rubio 19' Jump Shot,,,,,4.0,201937,Ricky Rubio,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
46,0021400035,52,4,0,1,8:20 PM,6:26,TIMBERWOLVES Rebound,,,,,2.0,1610612750,,,,,,0,0,,,,,,0,0,,,,,
47,0021400035,53,9,1,1,8:20 PM,6:26,TIMBERWOLVES Timeout: Regular (Full 1 Short 0),,,,,2.0,1610612750,,,,,,0,0,,,,,,0,0,,,,,
48,0021400035,55,2,1,1,8:23 PM,6:23,MISS Martin 24' 3PT Jump Shot,,,,,4.0,2755,Kevin Martin,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,
49,0021400035,56,4,0,1,8:23 PM,6:22,,,Gasol REBOUND (Off:0 Def:4),,,5.0,2200,Pau Gasol,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
50,0021400035,57,1,1,1,8:23 PM,6:09,,,Dunleavy 25' 3PT Jump Shot (6 PTS) (Hinrich 1 AST),16 - 12,-4,5.0,2399,Mike Dunleavy,1610612741.0,Chicago,Bulls,CHI,5,2550,Kirk Hinrich,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,
51,0021400035,58,5,2,1,8:23 PM,5:46,Wiggins Lost Ball Turnover (P1.T1),,Dunleavy STEAL (1 STL),,,4.0,203952,Andrew Wiggins,1610612750.0,Minnesota,Timberwolves,MIN,5,2399,Mike Dunleavy,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,
52,0021400035,59,2,65,1,8:23 PM,5:31,,,MISS Noah 6' Jump Hook Shot,,,5.0,201149,Joakim Noah,1610612741.0,Chicago,Bulls,CHI,0,0,,,,,,0,0,,,,,
