,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0,0021401100,0,12,0,1,9:11 PM,12:00,,,,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,
1,0021401100,1,10,0,1,9:11 PM,12:00,Jump Ball Len vs. Adams: Tip to Westbrook,,,,,4.0,203458,Alex Len,1610612756.0,Phoenix,Suns,PHX,5,203500,Steven Adams,1610612760.0,Oklahoma City,Thunder,OKC,5,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC
2,0021401100,2,1,44,1,9:11 PM,11:41,,,Kanter 1' Reverse Layup (2 PTS),2 - 0,-2,5.0,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
3,0021401100,4,1,1,1,9:12 PM,11:16,Mark Morris 18' Jump Shot (2 PTS) (Marc Morris 1 AST),,,2 - 2,TIE,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,4,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,
4,0021401100,5,6,2,1,9:13 PM,11:03,Marc Morris S.FOUL (P1.T1),,,,,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,5,202713,Kyle Singler,1610612760.0,Oklahoma City,Thunder,OKC,1,0,,,,,
5,0021401100,6,6,11,1,9:13 PM,11:03,,,Westbrook T.FOUL (P0.T0),,,5.0,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1,0,,,,,
6,0021401100,7,3,16,1,9:13 PM,11:03,MISS Bledsoe Free Throw Technical,,,,,4.0,202339,Eric Bledsoe,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
7,0021401100,8,4,1,1,9:13 PM,11:03,,,Thunder Rebound,,,3.0,1610612760,,,,,,0,0,,,,,,0,0,,,,,
8,0021401100,9,3,11,1,9:13 PM,11:03,,,MISS Singler Free Throw 1 of 2,,,5.0,202713,Kyle Singler,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
9,0021401100,10,4,1,1,9:13 PM,11:03,,,Thunder Rebound,,,3.0,1610612760,,,,,,0,0,,,,,,0,0,,,,,
10,0021401100,11,3,12,1,9:14 PM,11:03,,,Singler Free Throw 2 of 2 (1 PTS),3 - 2,-1,5.0,202713,Kyle Singler,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
11,0021401100,13,1,1,1,9:14 PM,10:53,Mark Morris 9' Jump Shot (4 PTS) (Tucker 1 AST),,,3 - 4,1,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,4,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,
12,0021401100,14,2,1,1,9:14 PM,10:39,,,MISS Westbrook 25' 3PT Jump Shot,,,5.0,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
13,0021401100,15,4,0,1,9:14 PM,10:38,Marc Morris REBOUND (Off:0 Def:1),,,,,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
14,0021401100,16,1,1,1,9:14 PM,10:28,Mark Morris 25' 3PT Jump Shot (7 PTS) (Tucker 2 AST),,,3 - 7,4,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,4,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,
15,0021401100,17,1,42,1,9:15 PM,10:14,,,Kanter 2' Driving Layup (4 PTS),5 - 7,2,5.0,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
16,0021401100,18,6,2,1,9:15 PM,10:14,Len S.FOUL (P1.T2),,,,,4.0,203458,Alex Len,1610612756.0,Phoenix,Suns,PHX,5,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,1,0,,,,,
17,0021401100,19,3,10,1,9:15 PM,10:14,,,Kanter Free Throw 1 of 1 (5 PTS),6 - 7,1,5.0,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
18,0021401100,21,1,1,1,9:15 PM,9:57,Mark Morris 19' Jump Shot (9 PTS) (Bledsoe 1 AST),,,6 - 9,3,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,4,202339,Eric Bledsoe,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,
19,0021401100,22,1,5,1,9:16 PM,9:42,,,Kanter 2' Layup (7 PTS) (Westbrook 1 AST),8 - 9,1,5.0,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,5,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,
20,0021401100,23,1,5,1,9:16 PM,9:34,Mark Morris 2' Layup (11 PTS) (Bledsoe 2 AST),,,8 - 11,3,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,4,202339,Eric Bledsoe,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,
21,0021401100,24,1,5,1,9:16 PM,9:17,,,Adams  Layup (2 PTS) (Westbrook 2 AST),10 - 11,1,5.0,203500,Steven Adams,1610612760.0,Oklahoma City,Thunder,OKC,5,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,
22,0021401100,25,2,63,1,9:16 PM,9:02,MISS Mark Morris 10' Fadeaway Jumper,,,,,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
23,0021401100,26,4,0,1,9:16 PM,9:01,Len REBOUND (Off:1 Def:0),,,,,4.0,203458,Alex Len,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
24,0021401100,27,6,2,1,9:16 PM,8:51,,,Singler S.FOUL (P1.T1),,,5.0,202713,Kyle Singler,1610612760.0,Oklahoma City,Thunder,OKC,4,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,1,0,,,,,
25,0021401100,28,3,11,1,9:17 PM,8:51,Marc Morris Free Throw 1 of 2 (1 PTS),,,10 - 12,2,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
26,0021401100,30,3,12,1,9:17 PM,8:51,Marc Morris Free Throw 2 of 2 (2 PTS),,,10 - 13,3,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
27,0021401100,32,2,1,1,9:17 PM,8:38,,,MISS Westbrook 22' Jump Shot,,,5.0,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
28,0021401100,33,4,0,1,9:17 PM,8:37,Marc Morris REBOUND (Off:0 Def:2),,,,,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
29,0021401100,34,2,1,1,9:18 PM,8:22,MISS Tucker  3PT Jump Shot,,,,,4.0,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
30,0021401100,35,4,0,1,9:18 PM,8:21,,,Singler REBOUND (Off:0 Def:1),,,5.0,202713,Kyle Singler,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
31,0021401100,36,2,79,1,9:18 PM,8:13,,,MISS Waiters 25' 3PT Pullup Jump Shot,,,5.0,203079,Dion Waiters,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
32,0021401100,37,4,0,1,9:18 PM,8:12,Mark Morris REBOUND (Off:0 Def:1),,,,,4.0,202693,Markieff Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
33,0021401100,38,1,5,1,9:18 PM,8:04,Marc Morris 1' Layup (4 PTS) (Bledsoe 3 AST),,,10 - 15,5,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,4,202339,Eric Bledsoe,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,
34,0021401100,39,2,47,1,9:18 PM,7:43,,,MISS Kanter 8' Turnaround Jump Shot,,,5.0,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
35,0021401100,40,4,0,1,9:18 PM,7:43,Marc Morris REBOUND (Off:0 Def:3),,,,,4.0,202694,Marcus Morris,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
36,0021401100,41,6,1,1,9:19 PM,7:31,,,Waiters P.FOUL (P1.T2),,,5.0,203079,Dion Waiters,1610612760.0,Oklahoma City,Thunder,OKC,4,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,1,0,,,,,
37,0021401100,42,1,5,1,9:19 PM,7:20,Tucker 1' Layup (2 PTS),,,10 - 17,7,4.0,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
38,0021401100,43,6,2,1,9:19 PM,7:20,,,Waiters S.FOUL (P2.T3),,,5.0,203079,Dion Waiters,1610612760.0,Oklahoma City,Thunder,OKC,4,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,1,0,,,,,
39,0021401100,45,8,0,1,9:19 PM,7:20,,,SUB: Morrow FOR Waiters,,,5.0,203079,Dion Waiters,1610612760.0,Oklahoma City,Thunder,OKC,5,201627,Anthony Morrow,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,
40,0021401100,46,3,10,1,9:20 PM,7:20,Tucker Free Throw 1 of 1 (3 PTS),,,10 - 18,8,4.0,200782,PJ Tucker,1610612756.0,Phoenix,Suns,PHX,0,0,,,,,,0,0,,,,,
41,0021401100,48,9,1,1,9:20 PM,7:15,,,Thunder Timeout: Regular (Reg.1 Short 0),,,3.0,1610612760,,,,,,0,0,,,,,,0,0,,,,,
42,0021401100,52,2,1,1,9:23 PM,7:02,,,MISS Westbrook 4' Jump Shot,,,5.0,201566,Russell Westbrook,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
43,0021401100,53,4,0,1,9:23 PM,7:01,,,Kanter REBOUND (Off:1 Def:0),,,5.0,202683,Enes Kanter,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,
